x,y_mean,y_se
0,67.68,12.4657
0.1,67.103,12.3089
0.2,66.526,12.1609
0.3,65.949,12.0221
0.4,65.372,11.8927
0.5,64.795,11.7732
0.6,64.218,11.6637
0.7,63.641,11.5646
0.8,63.064,11.4761
0.9,62.487,11.3986
1,61.91,11.3321
1.1,61.333,11.277
1.2,60.756,11.2334
1.3,60.179,11.2013
1.4,59.602,11.181
1.5,59.025,11.1725
1.6,58.448,11.1757
1.7,57.871,11.1908
1.8,57.294,11.2176
1.9,56.717,11.2561
2,56.14,11.3061
2.1,55.563,11.3675
2.2,54.986,11.4401
2.3,54.409,11.5237
2.4,53.832,11.6181
2.5,53.255,11.723
2.6,52.678,11.8381
2.7,52.101,11.9631
2.8,51.524,12.0977
2.9,50.947,12.2417
3,50.37,12.3946
3.1,49.793,12.5561
3.2,49.216,12.726
3.3,48.639,12.9039
3.4,48.062,13.0894
3.5,47.485,13.2823
3.6,46.908,13.4822
3.7,46.331,13.6888
3.8,45.754,13.9019
3.9,45.177,14.121
4,44.6,14.3461
4.1,44.023,14.5767
4.2,43.446,14.8126
4.3,42.869,15.0536
4.4,42.292,15.2994
4.5,41.715,15.5498
4.6,41.138,15.8046
4.7,40.561,16.0636
4.8,39.984,16.3265
4.9,39.407,16.5933
5,38.83,16.8636
